binary,given_name,surname,date_of_birth,phone_number,email,address,city,state,zipcode,target,uniform corr 2,random choice 2,multicollinearity 2,uniform corr 1,multicollinearity 3,duplicate_2,random choice 7,pd qcut3,informative_1,random label num 14,multicollinearity 4,multicollinearity 1,outliers 1,correlated w target 2,outliers 2,pd qcut1,corr_feature_class,correlated w target 1,class,scaling_combined,random label num 4_label num lo 2,random label num 4_label num lo 3,random label num 4_label num lo 4,pd qcut2_Q2,pd qcut2_Q3,pd qcut2_Q4,random choice 4_North,random choice 4_South,random choice 4_West,semi_constant_1_q_const_0_1,semi_constant_1_q_const_0_2,semi_constant_2_q_const_0_1,semi_constant_2_q_const_0_2
0,0.007,0.001,0.502,0.201,0.302,0.001,0.001,0.571,0.001,-0.9042236742875387,0.6578594201049989,1,0.530460953389235,0.12605941620032618,1.1037631647292674,-0.6638599972813359,0.092,0.188,-0.9991017824896424,0.068,1.3104776806519323,-0.13932473957068903,0.25908649169861725,0.3464216276853441,5.676192625159599,0,3.4629420063818133,-0.47669004507924073,1.0,58587.06807038935,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.014,0.001,0.001,0.001,0.001,0.001,0.001,0.571,0.001,2.324369783092482,0.4699338596476813,0,0.5402322011596777,0.8864294790330589,0.9908143795796042,1.153596854135379,0.41,0.185,1.2466861830450993,0.183,0.5259978113466881,1.045607316973567,-0.3865465585330782,0.7827324081523911,-3.542026245582803,0,1.386285954436929,1.5285583587552636,1.0,25390.85294603721,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,0.014,0.003,0.502,0.001,0.001,0.291,0.108,0.571,0.155,1.7782165547025084,0.9848054215501116,1,-1.499360280524633,0.7007732404586743,0.5385359818925634,0.8593974662590766,0.41,0.185,0.9627768269601935,0.063,0.4784962778948434,-0.5777200363349351,-2.173376139316218,-2.49180830625835,-3.542026245582803,0,5.537577521725375,-8.854087020766123,1.0,25390.85294603721,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,0.007,0.002,0.001,0.001,0.001,0.291,0.108,0.571,0.155,5.451234575139656,0.8747321694990493,0,-0.18450071659821124,0.8860543509103845,-1.8698884452314295,2.0336452879154674,0.093,0.193,-2.9574409509433037,0.059,-2.642355423515378,-0.21150825702369547,0.13841521565683035,-1.1254672843808704,-3.542026245582803,1,-0.18551310045355196,1.566912698215464,1.0,53617.09380870451,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.016,0.318,0.001,0.201,0.302,0.001,0.001,0.571,0.001,2.1539258469951807,0.9050434455175735,1,-1.1962044726706411,0.3477812295990204,1.07968371454267,1.05944863351561,0.096,0.185,1.1411652716579705,0.065,1.7361665171788931,-0.8206598663451092,-4.925095856884012,-2.2961518807245636,4.074793795068797,0,2.3847408758095687,-8.854087020766123,1.0,25390.85294603721,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,0.01,0.318,0.001,0.001,0.001,0.291,0.001,0.006,0.001,4.626787069235546,0.6613398485964943,1,-0.26051803943151297,0.7876531045109976,-0.005904656294587467,2.399635889224372,0.41,0.193,2.485477863898728,0.068,0.04215147294164982,-0.1968973169920517,1.1766928636494152,-8.242782782688199,3.034375997492486,1,-9.659111297319823,-8.854087020766123,1.0,59707.96010985762,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,0.001,0.318,0.502,0.001,0.001,0.001,0.001,0.007,0.001,-1.187224231921867,0.2831544468938367,1,0.588004134236942,0.034284004395775655,0.009656820190501736,-0.747560845179044,0.097,0.244,-0.6479636736717482,0.06,0.0984274335644945,1.5704738369298576,-4.925095856884012,-8.242782782688199,1.4270317660210265,0,-1.998858182145653,-8.854087020766123,0.0,25390.85294603721,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.01,0.003,0.502,0.001,0.001,0.001,0.001,0.571,0.001,-1.266374292198878,0.0010304322508349723,1,0.6506628577062902,0.11725700156369029,0.2936734335619413,-0.8182224427035356,0.11,0.244,-0.8922328125534437,0.065,0.7741087185016915,-0.3497185850342496,1.2139581530142551,2.25262564896802,-3.542026245582803,0,2.631529949488013,-1.2701339648131142,0.0,39436.00389694062,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.006,0.318,0.001,0.001,0.001,0.001,0.001,0.571,0.001,0.24111056261580832,0.46311765007880423,0,-0.9423233011937694,0.3710913895058181,0.05344153249218861,-0.09154666780661158,0.097,0.188,-0.7273359834485558,0.183,0.540480152271309,-1.2040504561009648,-4.925095856884012,-1.110870516964948,4.685317074012897,0,1.420964298506565,-8.854087020766123,0.0,25390.85294603721,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.003,0.001,0.502,0.001,0.001,0.001,0.001,0.004,0.001,-3.935564389564147,0.23560019117597447,1,-0.29941606696086726,0.160120023756057,-0.8897707928029406,-1.8069333466532713,0.41,0.093,0.9753643211025785,0.065,-0.2614940526119969,0.8900916876153303,0.824540935086078,-8.242782782688199,-0.2768885806547119,0,2.793013245509685,-3.270809577248846,0.0,25390.85294603721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,0.005,0.002,0.502,0.001,0.001,0.001,0.001,0.01,0.001,1.4902846231827178,0.630044948664042,0,-0.4070888620188382,0.9268147454187682,-1.1562799522461862,0.6640066001907508,0.41,0.185,0.5210909070320509,0.059,-0.9483989365816146,0.2570814782419963,-4.925095856884012,-8.242782782688199,4.512900682420552,0,-9.659111297319823,0.256359145867016,1.0,25390.85294603721,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.002,0.004,0.502,0.001,0.001,0.001,0.001,0.571,0.001,2.077177886048961,0.5691892693015628,1,0.3104049149359851,0.8949039478214531,-1.4904204558523875,1.0453063757400651,0.11,0.185,1.298410809303382,0.068,-3.0601734293842595,-0.9294685430151578,0.1710995033351993,-8.242782782688199,1.95430963904423,0,-0.7067714151492104,4.953895074739197,1.0,25390.85294603721,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.009,0.005,0.001,0.001,0.001,0.001,0.001,0.571,0.001,-0.04039569818845051,0.15155509878566148,0,-2.864306486268616,0.4603628880729771,-1.7863023649469847,-0.21730425574735168,0.41,0.244,-0.6860766332166293,0.062,-2.1071971135601433,-0.25406594401112315,-2.4910036732571914,-8.242782782688199,0.5105776027531381,0,-9.659111297319823,2.0909892902766476,0.0,25390.85294603721,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,0.011,0.318,0.001,0.001,0.001,0.001,0.001,0.009,0.001,5.165736554096395,0.7221668971998514,0,-0.04844128859322945,0.9058916393656682,1.2222182329915106,2.7119608896597107,0.41,0.193,2.9251395877620867,0.062,1.380920158430061,1.0711498313409866,1.324407098623847,-8.242782782688199,7.1599934162276195,1,2.6570303137642934,-8.854087020766123,1.0,25390.85294603721,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
